age,yearsmarried,children,religiousness_5,education,occupation_grade6,occupation_husb_grade6,rating_5,yrs_per_age,rate_x_yrs,weight,gender_male,gender_female,target
61.0,41.0,2.0,4.0,12.0,1.0,1.0,5.0,0.6721311475409836,90.0,-80.0,0.0,1.0,0.0
32.0,8.0,1.0,2.0,13.0,6.0,4.0,5.0,0.25,40.0,-80.0,0.0,1.0,0.0
35.0,2.0,1.0,2.0,13.0,3.0,2.0,5.0,0.0571428571428571,10.0,-80.0,1.0,0.0,0.0
49.0,26.0,4.0,3.0,16.0,6.0,1.0,5.0,0.54,90.0,-80.0,0.0,1.0,0.0
64.0,39.0,2.0,2.0,14.0,3.0,3.0,5.0,0.609375,195.0,-80.0,0.0,1.0,0.0
67.0,44.0,5.0,5.0,12.0,2.0,4.0,5.0,0.6567164179104478,220.0,-80.0,0.0,1.0,0.0
33.0,6.0,0.0,2.0,15.0,3.0,4.0,5.0,0.1818181818181818,30.0,-80.0,1.0,0.0,0.0
33.0,12.0,1.0,1.0,12.0,4.0,1.0,5.0,0.3636363636363636,90.0,-80.0,0.0,1.0,0.0
60.0,32.0,1.0,4.0,14.0,3.0,1.0,5.0,0.5333333333333333,90.0,-80.0,1.0,0.0,1.0
77.0,54.0,2.0,2.0,9.0,1.0,1.0,3.0,0.7012987012987013,162.0,-80.0,1.0,0.0,0.0
52.0,26.0,2.0,5.0,14.0,4.0,2.0,5.0,0.5,130.0,-80.0,0.0,1.0,0.0
24.0,2.0,3.0,3.0,11.0,5.0,1.0,5.0,0.0833333333333333,90.0,-80.0,0.0,1.0,0.0
28.0,4.0,0.0,4.0,12.0,2.0,2.0,3.0,0.1428571428571428,12.0,-80.0,0.0,1.0,0.0
57.0,27.0,2.0,2.0,19.0,6.0,2.0,5.0,0.4736842105263157,135.0,-80.0,1.0,0.0,0.0
44.0,10.0,2.0,1.0,18.0,5.0,3.0,5.0,0.2272727272727272,50.0,-80.0,1.0,0.0,0.0
75.0,45.0,1.0,5.0,14.0,6.0,1.0,5.0,0.6,90.0,-80.0,0.0,1.0,0.0
58.0,36.0,3.0,2.0,16.0,5.0,1.0,5.0,0.6206896551724138,90.0,-80.0,0.0,1.0,0.0
44.0,23.0,3.0,2.0,17.0,4.0,4.0,5.0,0.5227272727272727,115.0,-80.0,0.0,1.0,0.0
48.0,25.0,2.0,2.0,19.0,6.0,4.0,5.0,0.5208333333333334,125.0,-80.0,1.0,0.0,0.0
23.0,3.0,2.0,2.0,12.0,3.0,2.0,3.0,0.1304347826086956,9.0,-80.0,0.0,1.0,0.0
56.0,28.0,0.0,5.0,15.0,4.0,1.0,5.0,0.5,90.0,-80.0,1.0,0.0,0.0
78.0,60.0,0.0,2.0,12.0,3.0,1.0,5.0,0.7692307692307693,90.0,-80.0,0.0,1.0,0.0
37.0,12.0,3.0,1.0,15.0,4.0,3.0,5.0,0.3243243243243243,60.0,-80.0,0.0,1.0,1.0
60.0,38.0,4.0,2.0,12.0,3.0,3.0,5.0,0.6333333333333333,190.0,-80.0,1.0,0.0,0.0
64.0,41.0,2.0,3.0,11.0,3.0,4.0,3.0,0.640625,123.0,-80.0,1.0,0.0,1.0
31.0,6.0,0.0,2.0,18.0,6.0,4.0,5.0,0.1935483870967742,30.0,-80.0,1.0,0.0,0.0
64.0,44.0,3.0,2.0,12.0,1.0,2.0,5.0,0.6875,220.0,-80.0,0.0,1.0,0.0
39.0,9.0,2.0,2.0,18.0,5.0,4.0,5.0,0.2307692307692307,45.0,-80.0,1.0,0.0,0.0
35.0,0.0,0.0,2.0,14.0,1.0,4.0,3.0,0.0,0.0,-80.0,1.0,0.0,0.0
35.0,11.0,2.0,1.0,12.0,4.0,1.0,5.0,0.3142857142857143,90.0,-80.0,0.0,1.0,0.0
70.0,48.0,3.0,5.0,12.0,1.0,1.0,5.0,0.6857142857142857,90.0,-80.0,0.0,1.0,0.0
49.0,27.0,2.0,3.0,13.0,3.0,2.0,5.0,0.5510204081632653,135.0,-80.0,1.0,0.0,1.0
34.0,14.0,2.0,1.0,12.0,4.0,1.0,5.0,0.4117647058823529,70.0,-80.0,0.0,1.0,0.0
34.0,1.0,1.0,4.0,12.0,1.0,2.0,1.0,0.0294117647058823,1.0,-80.0,1.0,0.0,1.0
33.0,12.0,0.0,3.0,13.0,1.0,1.0,5.0,0.3636363636363636,90.0,-80.0,1.0,0.0,0.0
31.0,4.0,1.0,2.0,16.0,5.0,4.0,5.0,0.1290322580645161,20.0,-80.0,0.0,1.0,0.0
50.0,22.0,2.0,1.0,12.0,3.0,1.0,5.0,0.44,90.0,-80.0,0.0,1.0,0.0
48.0,24.0,3.0,2.0,12.0,3.0,3.0,5.0,0.5,120.0,-80.0,0.0,1.0,0.0
46.0,28.0,3.0,5.0,11.0,1.0,2.0,5.0,0.6086956521739131,140.0,-80.0,0.0,1.0,0.0
36.0,14.0,3.0,2.0,12.0,3.0,2.0,5.0,0.3888888888888889,70.0,-80.0,0.0,1.0,0.0
22.0,8.0,5.0,5.0,13.0,2.0,1.0,5.0,0.3636363636363636,40.0,-80.0,0.0,1.0,0.0
67.0,50.0,3.0,5.0,9.0,2.0,1.0,5.0,0.746268656716418,90.0,-80.0,0.0,1.0,0.0
61.0,11.0,2.0,3.0,12.0,1.0,1.0,5.0,0.180327868852459,55.0,-80.0,1.0,0.0,1.0
50.0,32.0,3.0,5.0,14.0,2.0,1.0,5.0,0.64,90.0,-80.0,0.0,1.0,1.0
