변수명	값 개수	결측치 개수	결측치 비율
id	1755295	0	0.0%
loan_amnt	1755294	1	0.0%
funded_amnt	1755294	1	0.0%
funded_amnt_inv	1755294	1	0.0%
term	1755294	1	0.0%
int_rate	1755294	1	0.0%
installment	1755294	1	0.0%
grade	1755294	1	0.0%
sub_grade	1755294	1	0.0%
emp_title	1596894	158401	9.02%
emp_length	1632210	123085	7.01%
home_ownership	1755294	1	0.0%
annual_inc	1755292	3	0.0%
verification_status	1755294	1	0.0%
issue_d	1755294	1	0.0%
loan_status	1755294	1	0.0%
pymnt_plan	1755294	1	0.0%
url	1755294	1	0.0%
purpose	1755294	1	0.0%
title	1741251	14044	0.8%
zip_code	1755294	1	0.0%
addr_state	1755294	1	0.0%
dti	1753433	1862	0.11%
delinq_2yrs	1755278	17	0.0%
earliest_cr_line	1755278	17	0.0%
fico_range_low	1755294	1	0.0%
fico_range_high	1755294	1	0.0%
inq_last_6mths	1755278	17	0.0%
mths_since_last_delinq	833096	922199	52.54%
mths_since_last_record	256588	1498707	85.38%
open_acc	1755278	17	0.0%
pub_rec	1755278	17	0.0%
revol_bal	1755294	1	0.0%
revol_util	1753707	1588	0.09%
total_acc	1755278	17	0.0%
initial_list_status	1755294	1	0.0%
out_prncp	1755294	1	0.0%
out_prncp_inv	1755294	1	0.0%
total_pymnt	1755294	1	0.0%
total_pymnt_inv	1755294	1	0.0%
total_rec_prncp	1755294	1	0.0%
total_rec_int	1755294	1	0.0%
total_rec_late_fee	1755294	1	0.0%
recoveries	1755294	1	0.0%
collection_recovery_fee	1755294	1	0.0%
last_pymnt_d	1752265	3030	0.17%
last_pymnt_amnt	1755294	1	0.0%
next_pymnt_d	639406	1115889	63.57%
last_credit_pull_d	1755253	42	0.0%
last_fico_range_high	1755294	1	0.0%
last_fico_range_low	1755294	1	0.0%
collections_12_mths_ex_med	1755200	95	0.01%
mths_since_last_major_derog	433417	1321878	75.31%
policy_code	1755294	1	0.0%
application_type	1755294	1	0.0%
annual_inc_joint	126357	1628938	92.8%
dti_joint	126355	1628940	92.8%
verification_status_joint	116883	1638412	93.34%
acc_now_delinq	1755278	17	0.0%
tot_coll_amt	1713207	42088	2.4%
tot_cur_bal	1713207	42088	2.4%
open_acc_6m	1235574	519721	29.61%
open_act_il	1235574	519721	29.61%
open_il_12m	1235574	519721	29.61%
